Prefix1,Suffix1,PermutedPrefix1,PermutedSuffix1,Example1,Example2
dé,age,éd,eag,déballage,débouchage
dé,ant,éd,tan,débordant,déodorant
dé,eur,éd,eru,décodeur,découvreur
dé,ion,éd,oin,déconstruction,décontraction
en,age,ne,eag,embouteillage,emballage
en,eur,ne,eru,emmerdeur,empailleur
en,ant,ne,tan,enivrant,
en,ade,ne,eda,engueulade,enfilade
re,eur,er,ure,réacteur,revendeur
re,ion,er,oin,réaction,réinsertion
re,ant,er,tan,recueillant,réjouissant
re,at,er,ta,renégat,
re,age,er,eag,repassage,repêchage
re,ure,er,eru,revoyure,réécriture
sur,el,rus,le,surnaturelle,
in,el,ni,le,immortel,immatériel
in,ité,ni,éti,immoralité,impossibilité
in,ent,ni,tan,imposant,imprudent
in,ude,ni,edu,inaptitude,incertitude
in,ion,ni,oin,inaction,impulsion
in,if,ni,fi,inexpressif,inoffensif
dé,ment,éd,nemt,debarquement,débordement
dé,able,éd,albe,décapotable,défavorable
dé,isme,éd,isem,défaitisme,
dé,iste,éd,eist,défaitiste,
dé,ance,éd,acne,désobéissance,
en,ment,ne,nemt,embarquement,emboîtement
multi,el,limtu,le,multiculturel,
pour,ant,poru,tan,poursuivant,
pré,aire,rép,arie,préliminaire,
pro,ment,rop,nemt,prolongement,
re,ment,er,nemt,réabonnement,reboisment
sur,ance,rus,acne,surabondance,surintendance
sur,ant,rus,tan,survivant,
sur,ment,rus,nemt,survêtement,
in,able,ni,albe,illisible,imbattable
in,isme,ni,isem,immoralisme,
in,ment,ni,nemt,impatiemment,incosciemment
in,ance,ni,acne,indépendance,insouciance
in,ence,ni,ecne,indifférence,inexistence
in,aire,ni,arie,involontaire,
pré,ique,rép,equi,préhistorique,
pré,ment,rép,nemt,prélèvement,prématurément
pré,ion,rép,oin,présélection,préméditation
