Prefix1,Suffix1,PermutedPrefix1,PermutedSuffix1,Example1,Example2
in,ly,ni,yl,inefficiently,inelegantly
in,ity,ni,yit,invincability,invisibility
re,al,er,la,removal,renewal
de,er,ed,re,debunker,decaner
un,ly,nu,yl,uncertainly,uncannily
un,al,nu,la,unnatural,unofficial
in,ate,ni,eta,invalidate,invigorate
in,able,ni,elba,indistructable,indistinctuable
re,able,er,elba,retractable,reversable
re,ment,er,nemt,replacement,resettlement
re,ate,er,eta,rejuvenate,reortientate
pro,ion,orp,oni,procreation,proscription
in,ness,mi,sens,impoliteness,impracticelness
in,ion,mi,oni,immersion,immigration
un,ful,nu,ulf,unlawful,unmindful
un,ness,nu,sens,uncertainness,unconsciousness
un,ious,nu,ison,unmalicious,unmeritorious
un,able,nu,elba,unmatchable,unmentionable
dis,ure,sid,eru,displeasure,disclosure
dis,ion,sid,oni,disruption,dispossession
dis,ful,sid,ulf,disrespectful,distasteful
over,ive,vero,evi,overactive,overprotective
mis,ion,sim,oni,misapplication,misinterpretation
mis,ment,sim,nemt,misjudgement,mismanagement
mis,our,sim,oru,misbehaviour,misdemeanour
en,ment,ne,nemt,enjoyment,enlistment
re,ize,er,zie,remilitarize,reorganize
in,ity,mi,yti,impossibility,imparticality
de,ize,ed,ezi,deodorize,desensitize
de,ate,ed,eta,depopulate,devalueate
dis,ity,sid,yti,disloyalty,disparity
dis,ment,sid,nemt,disagreement,disappointment
mis,ion,sim,oni,misapplication,misinterpretation
dis,ly,sid,yl,disorderly,disapprovingly
dis,er,sid,re,disbeliever,disapprover
dis,al,sid,la,disapproval,disposal
uni,ly,inu,yl,uniformly,universally
