Suffix1,Suffix2,PermutedSuffix1,PermutedSuffix2,Example1,Example2
ion,al,oni,la,relational,presentational
al,ly,la,yl,statistically,specifically
ic,al,ci,la,algebraical,therapeutical
ment,al,nemt,la,developmental,temperamental
ious,ly,ouis,yl,precariously,maliciously
ful,ly,ulf,yl,beautifully,pitifully
li,ness,il,sens,friendliness,steadiness
ist,ic,sit,ci,naturalistic,ritualistic
ful,ness,ulf,sens,tactfulness,thankfulness
al,ity,la,yit,normality,formality
al,ism,la,sim,nationalism,naturalism
al,ist,la,sit,nationalist,naturalist
al,ize,la,zei,nationalize,naturalize
abil,ity,ilab,yit,adabtability,advisability
