first,second,condition,root,prefixes,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength,type,block
srus,crus,r,crus,,,crus,target,r,,0,c,s,srus,3,4,pseudo,block1
ledébulage,ledébulage,pprs,bul,re_dé,age,redébulage,target,p,0.0,0,r,l,ledébulage,2,10,pseudo,block1
mefilation,refilation,prss,fil,re,at_ion,refilation,target,p,0.0,0,r,m,mefilation,3,10,pseudo,block1
nisnet,nasnet,rs,nas,,net,nasnet,control,r,,1,a,i,nisnet,3,6,pseudo,block1
puorisme,quorisme,rs,quor,,isme,quorisme,target,r,,0,q,p,puorisme,3,8,pseudo,block1
imdic,imdic,pr,dic,in,,indic,target,p,0.0,1,n,m,imdic,2,5,pseudo,block1
tretmanemt,tretmanemt,rss,tret,,ma_nemt,tretmanemt,control,r,,1,r,n,tnetmanemt,0,10,pseudo,block1
rusnesod,rusnesod,ppr,fod,rus_ne,,rusnefod,control,r,,0,f,s,rusnesod,2,8,pseudo,block1
quonent,quonent,rs,quor,,ent,quorent,target,r,,3,r,n,quonent,2,7,pseudo,block1
ertroc,ertroc,pr,troc,er,,ertroc,control,p,0.0,1,r,n,entroc,0,6,pseudo,block1
lamroqu,larroqu,pr,roqu,lam,,lamroqu,control,p,0.0,2,m,r,larroqu,1,7,pseudo,block1
clôtat,clôtit,rs,clôt,,at,clôtat,target,s,0.0,0,a,i,clôtit,1,6,pseudo,block1
erécnas,erédnas,ppr,nas,er_éd,,erédnas,control,p,1.0,1,d,c,erécnas,3,7,pseudo,block1
malgoer,malgier,pr,gier,mal,,malgier,target,r,,1,i,o,malgoer,3,7,pseudo,block1
minujletié,minujletié,prss,ruj,mi,le_tié,mirujletié,control,r,,0,r,n,minujletié,2,10,pseudo,block1
roifla,roifla,rs,roif,,le,roifle,control,s,0.0,1,e,a,roifla,2,6,pseudo,block1
filanment,filamment,rss,fil,,am_ment,filamment,target,s,0.0,1,m,n,filanment,3,9,pseudo,block1
trec,drec,r,trec,,,trec,control,r,,0,t,d,drec,1,4,pseudo,block1
erpertrec,érpertrec,ppr,trec,érp_er,,érpertrec,control,p,0.0,0,é,e,erpertrec,3,9,pseudo,block1
mirièn,mirièn,pr,rièn,mi,,mirièn,control,r,,1,i,è,mirèèn,0,6,pseudo,block1
cout,cout,r,coit,,,coit,target,r,,2,i,u,cout,2,4,pseudo,block1
répédmac,répédmac,ppr,mac,rép_éd,,répédmac,control,r,,1,a,e,répédmec,0,8,pseudo,block1
doul,doél,r,doul,,,doul,target,r,,2,u,é,doél,1,4,pseudo,block1
dof,dot,r,dof,,,dof,target,r,,2,f,t,dot,1,3,pseudo,block1
colaun,cojaun,pr,jaun,co,,cojaun,target,r,,0,j,l,colaun,3,6,pseudo,block1
insalivité,insalivité,prss,sal,in,iv_ité,insalivité,target,r,,2,l,m,insamivité,0,10,pseudo,block1
redéfoér,redéfoér,ppr,foir,re_dé,,redéfoir,target,r,,2,i,é,redéfoér,2,8,pseudo,block1
saijequi,saijequi,rs,saij,,equi,saijequi,control,r,,0,s,t,taijequi,0,8,pseudo,block1
erréltaoin,erréltaoin,prss,mél,er,ta_oin,erméltaoin,control,r,,0,m,r,erréltaoin,2,10,pseudo,block1
nicid,nicid,pr,cid,ni,,nicid,control,r,,1,i,e,niced,0,5,pseudo,block1
dysnièr,dysnièr,pr,nièr,dys,,dysnièr,target,p,0.0,2,s,d,dydnièr,0,7,pseudo,block1
