Word,Prefix1,Prefix2,Root,Wordlength
redehydrate,re,de,hydrate,11
underexpose,under,ex,pose,11
disentangle,dis,en,tangle,11
redisappear,re,dis,appear,11
superimpose,super,im,pose,11
nondescript,non,de,script,11
undischarge,un,dis,charge,11
superintend,super,in,tend,11
remisalign,re,mis,align,10
rediscover,re,dis,cover,10
reoutsmart,re,out,smart,10
reovercook,re,over,cook,10
premistake,pre,mis,take,10
predispose,pre,dis,pose,10
reovercome,re,over,come,10
overexpose,over,ex,pose,10
disinherit,dis,in,herit,10
disembowel,dis,em,bowel,10
undisguise,un,dis,guise,10
undisclose,un,dis,close,10
redisagree,re,dis,agree,10
redeflate,re,de,flate,9
reinforce,re,in,force,9
reimburse,re,im,burse,9
reinstate,re,in,state,9
disembark,dis,em,bark,9
remistake,re,mis,take,9
reoutsell,re,out,sell,9
reinstate,re,in,state,9
premisuse,pre,mis,use,9
reinforce,re,in,force,9
disembody,dis,em,body,9
misreport,mis,re,port,9
reimpose,re,im,pose,8
reimport,re,im,port,8
uninform,un,in,form,8
reenact,re,en,act,7
